Gnai3	130.00
Pbsn	0.00
Cdc45	15.00
H19	6.00
Scml2	15.00
Apoh	0.00
Narf	705.00
Cav2	5.00
Klf6	172.00
Scmh1	1385.00
Cox5a	159.25
Tbx2	7.00
Tbx4	0.00
Zfy2	0.00
Ngfr	5.00
Wnt3	4.00
Wnt9a	11.00
Fer	272.00
Xpo6	2684.00
Tfe3	530.00
Axin2	262.46
Brat1	295.00
Gna12	148.21
Slc22a18	1.00
Itgb2l	0.00
Igsf5	1.81
Pih1d2	21.00
Dlat	701.00
Sdhd	293.00
Fgf23	47.00
Fgf6	0.00
Ccnd2	111.27
Gpr107	928.67
Nalcn	704.00
Btbd17	4.00
Slfn4	0.00
Th	11.00
Ins2	0.00
Scnn1g	3.00
Drp2	2063.00
Tspan32	5.00
Lhx2	22.00
Clec2g	1.00
Gmpr	178.00
Glra1	14.00
Mid2	185.00
Trim25	18.00
Dgke	890.99
Scpep1	137.54
Mnt	399.00
Itgb2	1.00
Hddc2	24.22
Tpd52l1	2.00
Pemt	9.00
Cdh1	0.00
Cdh4	51.00
Ckmt1	561.00
Bcl6b	7.00
Clec10a	0.34
Alox12	13.00
Arvcf	326.52
Comt	349.75
Rtca	516.94
Dbt	92.00
Dazap2	369.00
Mcts1	152.00
Rem1	0.00
Rnf17	16.00
Trappc10	504.00
Ccm2	132.00
Wap	6.00
Tbrg4	530.61
Tmprss2	3.00
Mx1	13.03
Fap	2.00
Gcg	0.00
Ndufa9	271.57
Egfl6	3.00
Lck	9.00
Tssk3	8.00
Cttnbp2	4129.41
Galnt1	435.00
Myf5	0.00
Mkrn2	777.28
Pparg	122.00
Raf1	1446.31
Sept1	56.00
Pdgfb	27.00
Acvrl1	0.00
Grasp	28.00
Acvr1b	646.00
Tom1l2	1629.46
Gpa33	0.00
Zfp385a	924.00
Itga5	137.00
Gabra2	74.00
Wdr77	537.13
Adora3	1.00
Atp5f1	375.64
Sox9	27.00
Hnrnpd	795.74
Dynlt1c	580.02
C1d	55.00
Gm2a	80.00
Krit1	2023.00
Clcn4	682.37
Vmn2r88	1.01
Grm6	2.00
Sema4f	685.00
