Gnai3	241.00
Pbsn	0.00
Cdc45	20.00
H19	2.00
Scml2	43.00
Apoh	5.00
Narf	1043.00
Cav2	40.00
Klf6	379.00
Scmh1	2134.00
Cox5a	497.71
Tbx2	4.00
Tbx4	0.00
Zfy2	0.00
Ngfr	6.00
Wnt3	9.00
Wnt9a	53.00
Fer	441.00
Xpo6	3776.99
Tfe3	808.00
Axin2	417.57
Brat1	386.00
Gna12	378.91
Slc22a18	0.00
Itgb2l	1.00
Igsf5	2.42
Pih1d2	26.00
Dlat	1205.00
Sdhd	663.00
Fgf23	77.00
Fgf6	0.00
Ccnd2	216.48
Gpr107	1581.73
Nalcn	1428.00
Btbd17	14.00
Slfn4	0.00
Th	46.00
Ins2	0.00
Scnn1g	4.00
Drp2	3232.00
Tspan32	4.22
Lhx2	83.00
Clec2g	4.03
Gmpr	286.00
Glra1	15.00
Mid2	398.00
Trim25	44.00
Dgke	1973.00
Scpep1	303.84
Mnt	624.00
Itgb2	5.00
Hddc2	47.00
Tpd52l1	22.00
Pemt	16.00
Cdh1	4.00
Cdh4	130.00
Ckmt1	987.00
Bcl6b	30.00
Clec10a	0.00
Alox12	23.00
Arvcf	488.79
Comt	758.66
Rtca	926.54
Dbt	112.00
Dazap2	854.00
Mcts1	232.00
Rem1	1.00
Rnf17	46.00
Trappc10	890.00
Ccm2	197.00
Wap	9.00
Tbrg4	749.00
Tmprss2	6.00
Mx1	11.44
Fap	1.00
Gcg	0.00
Ndufa9	503.78
Egfl6	28.00
Lck	6.00
Tssk3	13.00
Cttnbp2	7144.71
Galnt1	810.00
Myf5	2.00
Mkrn2	1190.91
Pparg	199.00
Raf1	1961.69
Sept1	86.96
Pdgfb	34.00
Acvrl1	3.00
Grasp	64.00
Acvr1b	1429.00
Tom1l2	3246.00
Gpa33	0.00
Zfp385a	1600.00
Itga5	260.00
Gabra2	185.00
Wdr77	899.52
Adora3	4.01
Atp5f1	835.10
Sox9	64.00
Hnrnpd	1245.58
Dynlt1c	970.41
C1d	99.00
Gm2a	253.00
Krit1	2957.00
Clcn4	1260.22
Vmn2r88	1.42
Grm6	2.00
Sema4f	1025.00
Hk2	3.00
Myo18a	1587.00
Sez6	876.00
Haao	4.00
Cd52	2.00
Abhd15	10.19
Hoxb6	0.00
Loxl3	104.86
Tcl1b5	0.00
Btn1a1	4.00
Kat2b	440.21
Rab5b	800.00
Cryba1	40.00
Dnmt3l	3.00
Aire	1.00
Icosl	2.00
Spg7	937.00
Sult5a1	0.00
Rpl13	381.08
Chmp1a	259.00
Rpa1	176.00
Serpinf1	117.00
Tubgcp3	2654.00
Oprm1	105.00
Polr3d	256.00
Tcf7	105.00
Ddx3x	1777.98
Il12rb1	0.00
Slc5a5	100.00
Kcnn3	90.00
Usp32	1325.00
Car4	150.00
Txnrd3	36.00
Fasl	19.00
Zfp512b	2854.51
Dnajc5	3129.00
Tpd52l2	923.65
Fmr1	648.81
Bcl11a	1895.85
Il4	15.00
Pxmp4	130.00
Dlg3	1064.00
Gnb1l	27.34
Dbh	0.00
Mmp11	65.00
Smarcb1	1080.00
Vpreb3	0.00
Hip1r	580.86
Nsun5	894.45
Top1mt	282.59
Hoxa10	0.00
Hoxa4	0.00
Gm38393	2540.88
Mmp14	7.00
Slc7a7	13.18
Oxa1l	933.82
Heatr6	967.93
Ccl3	2.00
Wfdc18	0.00
Icam4	18.00
Ilf2	948.13
Chtop	1178.82
Snapin	769.43
S100a4	1.00
S100a3	1.00
S100a5	0.00
S100a6	10.00
Scn4a	0.00
Icam2	1.00
Mapk7	406.82
Epn2	649.00
B9d1	182.00
Sec24b	2292.12
N4bp3	147.00
Rmnd5b	360.00
Nhp2	51.00
Vps9d1	1359.91
Zfp276	726.56
C1ql4	0.00
Mfsd10	513.00
Luzp1	2213.00
Slc13a2	0.00
Kctd10	670.69
Poldip2	991.00
Sebox	4.00
Ift20	1373.00
Col6a1	284.00
Pcbp3	367.00
Lgals9	4.00
Araf	1833.00
Cfp	431.00
Timp1	22.00
Uxt	70.00
Cnnm3	637.33
Lman2l	371.00
Mcm3ap	964.54
Pcnt	942.83
Ftcd	4.00
Mxd1	395.00
Gmcl1	1166.98
Snrnp27	145.00
Oas1c	12.00
Oas1h	0.00
Ocrl	2553.00
Calm1	11981.11
Agpat3	2450.00
Slc26a3	1.00
Sema6b	931.00
Uhrf1	11.33
Dpp9	539.00
Ramp2	30.17
Lsr	46.15
Gramd1a	2044.86
Hpn	63.00
Gabrg1	17.00
Ckb	7816.79
Sp1	926.00
Itgb7	32.00
Myg1	644.30
Rarg	109.00
Pfdn5	383.70
Efnb2	456.00
Rrp15	254.00
Rnd2	1154.03
Srr	819.39
Sync	22.50
Fndc5	1478.00
Acp5	1.00
Cnn1	17.00
Fbxo9	513.00
Vps50	866.60
Hars	449.25
Zmat2	549.00
Ube2c	6.33
Smg5	1641.00
Cct3	572.00
Glmp	511.17
Mef2d	3737.68
Tmem79	4.47
Snd1	743.00
Col18a1	18.00
Slc19a1	324.00
Kpnb1	4827.00
Npepps	1621.00
Tbx21	1.00
Mrpl10	235.02
Cyp51	527.00
Tcf25	6911.00
Tubb6	100.07
Def8	410.00
Meox1	3.00
Sost	4.00
Nkx2-1	9.00
Pax9	2.00
Irx2	0.00
Col1a1	4.00
Itga3	982.00
Sgca	51.00
Dlx3	0.00
Foxm1	41.68
Itfg2	1195.11
Nrip2	1272.84
Tulp3	991.00
Gtf2h4	311.00
Tubb5	892.62
Ell2	607.00
Jup	153.00
Fkbp10	36.32
Klhl10	51.00
Mnx1	0.00
Nom1	472.00
Ergic1	1248.00
Tnk1	9.16
Acap1	0.00
Tcea3	0.00
Csn3	2.00
Ifrd1	401.76
Stk38l	587.43
Brpf1	817.23
Akr1b3	669.10
Hoxc13	0.00
Hoxc11	0.00
Hoxc8	0.00
Hoxc6	0.00
Gstt1	9.00
Gstt3	7.00
Ddt	119.00
Tat	0.00
Marveld3	16.00
Ddx18	389.83
Ubl3	1462.00
Gramd3	40.00
Eef1e1	70.00
Akt1	911.00
Cldn15	10.00
Il16	129.90
Tcirg1	685.00
Naglu	101.00
Coasy	419.00
Smo	25.00
Tspan33	79.00
Crnkl1	181.97
Rin2	101.00
Folh1	5.00
Chordc1	466.00
Rtcb	461.00
Pwp1	271.00
Fbxo7	662.09
Capns1	1346.00
Lrp3	1622.92
Dsg4	0.00
Evx2	0.00
Hoxd13	0.00
Hoxd12	0.00
Folr1	1.00
Clpb	665.00
Sept7	651.00
Zdhhc4	356.00
Rac1	1530.24
Nup214	1716.55
Aif1l	3.00
Cpa3	0.00
Ltbp1	363.00
Ugp2	315.91
Kcnh6	104.00
Trmt1	1853.00
Nacc1	1385.54
Nfix	709.74
Slc1a5	23.00
Uba1	2466.00
Vwf	47.04
Siae	184.00
Vsig2	38.00
Esam	49.00
Spa17	2.00
Fam50a	481.00
Emd	183.00
Taco1	105.29
Grik3	1883.69
